tenure,monthly_charges,total_charges,contract,internet_service,tech_support,payment_method,churn
46,93.18,4643.49,One year,DSL,Yes,Credit card,0
34,117.41,4141.16,Month-to-month,DSL,Yes,Electronic check,0
35,23.32,805.97,Two year,DSL,No,Electronic check,0
49,87.58,4175.1,Month-to-month,Fiber optic,No,Bank transfer,1
3,65.75,248.15,Month-to-month,Fiber optic,No,Mailed check,1
1,77.08,164.14,Month-to-month,DSL,Yes,Electronic check,1
5,26.7,162.82,Month-to-month,DSL,No,Credit card,0
53,22.39,1259.64,Two year,Fiber optic,Yes,Mailed check,0
3,86.02,368.86,Month-to-month,Fiber optic,Yes,Bank transfer,1
53,101.98,6043.14,One year,DSL,No,Electronic check,0
62,97.77,5850.9,One year,Fiber optic,Yes,Credit card,0
17,73.47,1238.06,Month-to-month,No,Yes,Credit card,1
43,28.19,1230.93,One year,No,No,Bank transfer,0
33,88.18,2719.34,Month-to-month,No,Yes,Electronic check,1
61,42.67,2799.89,Month-to-month,No,No,Mailed check,0
13,110.93,1672.22,Month-to-month,Fiber optic,Yes,Credit card,1
47,103.5,5152.85,Two year,Fiber optic,No,Bank transfer,1
14,90.36,1292.51,Two year,Fiber optic,Yes,Credit card,0
71,114.78,7641.3,Month-to-month,Fiber optic,No,Credit card,0
61,21.21,1284.02,Month-to-month,DSL,Yes,Electronic check,0
39,93.09,3971.84,One year,Fiber optic,No,Electronic check,0
52,51.68,2655.68,Month-to-month,Fiber optic,No,Mailed check,1
23,110.42,2403.23,Two year,DSL,Yes,Credit card,0
25,45.2,1122.15,One year,Fiber optic,Yes,Bank transfer,0
59,91.94,6056.95,Month-to-month,DSL,No,Credit card,1
40,107.52,4564.08,Two year,DSL,No,Bank transfer,0
28,22.25,696.98,Month-to-month,DSL,Yes,Credit card,0
14,58.56,926.69,Two year,Fiber optic,Yes,Bank transfer,0
44,95.76,4343.42,Two year,DSL,Yes,Credit card,0
64,64.4,3891.88,Month-to-month,No,Yes,Credit card,0
70,45.26,3116.19,Month-to-month,Fiber optic,No,Mailed check,1
8,40.42,369.87,Two year,Fiber optic,No,Electronic check,1
0,31.41,33.74,Two year,DSL,No,Electronic check,1
7,105.43,804.42,Month-to-month,Fiber optic,No,Bank transfer,1
62,76.69,4465.46,Two year,Fiber optic,No,Credit card,0
10,25.79,287.03,Month-to-month,Fiber optic,No,Credit card,1
7,57.02,426.65,Month-to-month,Fiber optic,Yes,Electronic check,1
34,55.51,1985.73,Two year,No,Yes,Bank transfer,0
34,36.54,1218.41,Month-to-month,No,No,Mailed check,1
32,62.42,1949.02,Two year,Fiber optic,Yes,Mailed check,0
4,51.87,254.12,Month-to-month,DSL,Yes,Mailed check,1
40,52.86,2207.65,One year,Fiber optic,Yes,Credit card,0
27,93.38,2638.34,Month-to-month,Fiber optic,Yes,Bank transfer,0
6,40.77,270.82,Month-to-month,Fiber optic,No,Electronic check,1
71,83.47,6479.95,One year,No,No,Credit card,0
11,76.21,843.17,Month-to-month,Fiber optic,Yes,Credit card,1
33,75.95,2344.45,Month-to-month,No,Yes,Mailed check,0
32,85.63,2883.84,Month-to-month,DSL,No,Bank transfer,0
47,73.93,3281.36,Month-to-month,DSL,Yes,Bank transfer,0
22,107.68,2479.06,Two year,DSL,No,Mailed check,0
61,86.91,5875.29,Month-to-month,No,No,Mailed check,1
36,73.79,2838.66,One year,No,Yes,Mailed check,0
43,102.64,4622.25,Month-to-month,Fiber optic,No,Credit card,1
34,79.83,2835.85,Month-to-month,Fiber optic,No,Credit card,1
64,47.7,2901.78,Month-to-month,Fiber optic,Yes,Credit card,1
46,39.12,1813.87,Month-to-month,No,Yes,Electronic check,0
2,33.54,97.45,Month-to-month,No,No,Electronic check,1
0,109.74,119.68,One year,Fiber optic,Yes,Bank transfer,0
4,90.43,428.85,Two year,Fiber optic,No,Mailed check,1
13,113.61,1581.48,Month-to-month,DSL,No,Mailed check,0
26,79.54,2335.74,Month-to-month,Fiber optic,Yes,Credit card,1
8,66.29,631.12,Month-to-month,Fiber optic,Yes,Electronic check,1
14,24.09,394.92,Month-to-month,DSL,No,Mailed check,1
41,86.51,3712.14,Month-to-month,No,No,Bank transfer,1
50,77.39,3815.68,Month-to-month,Fiber optic,No,Mailed check,1
62,119.0,7986.78,Month-to-month,No,No,Credit card,0
51,42.39,2112.34,Month-to-month,DSL,No,Credit card,1
3,72.14,269.21,Month-to-month,Fiber optic,Yes,Electronic check,1
22,84.4,2021.29,Month-to-month,Fiber optic,No,Bank transfer,1
14,83.75,1291.16,Month-to-month,DSL,No,Bank transfer,0
42,75.25,3480.99,Month-to-month,Fiber optic,No,Mailed check,0
28,97.25,3080.8,Month-to-month,DSL,No,Bank transfer,0
35,38.91,1500.83,Month-to-month,DSL,No,Mailed check,1
12,92.01,1090.88,Month-to-month,DSL,No,Mailed check,0
31,81.21,2684.22,Month-to-month,DSL,Yes,Electronic check,1
70,109.4,8209.73,Month-to-month,Fiber optic,No,Bank transfer,1
58,104.41,6753.94,Month-to-month,DSL,Yes,Credit card,0
27,50.14,1368.73,Month-to-month,Fiber optic,Yes,Mailed check,0
65,46.18,2846.65,Month-to-month,Fiber optic,No,Mailed check,0
41,118.13,5311.67,One year,Fiber optic,Yes,Mailed check,0
44,71.78,3112.18,Month-to-month,No,No,Bank transfer,0
61,110.45,6982.4,Month-to-month,Fiber optic,No,Bank transfer,0
56,34.72,1935.46,Two year,Fiber optic,Yes,Bank transfer,0
5,83.57,491.62,Month-to-month,DSL,No,Mailed check,1
27,100.61,2948.05,Month-to-month,Fiber optic,No,Credit card,1
27,114.63,3120.72,Two year,No,No,Credit card,0
43,52.41,2395.09,Two year,Fiber optic,No,Bank transfer,0
29,91.95,2490.56,Month-to-month,DSL,No,Credit card,0
61,72.96,4364.88,Month-to-month,Fiber optic,Yes,Mailed check,0
61,24.18,1444.9,Month-to-month,Fiber optic,Yes,Bank transfer,0
0,88.38,92.78,Month-to-month,Fiber optic,No,Bank transfer,1
26,88.39,2298.02,One year,Fiber optic,No,Mailed check,0
61,112.92,7187.73,Month-to-month,DSL,Yes,Bank transfer,0
2,68.73,213.96,Month-to-month,No,No,Mailed check,0
69,41.49,2996.32,Two year,DSL,No,Bank transfer,0
71,22.55,1657.14,Two year,DSL,No,Credit card,0
26,60.4,1602.63,Month-to-month,Fiber optic,No,Bank transfer,0
8,48.8,428.07,One year,DSL,No,Bank transfer,0
61,95.63,6005.64,Month-to-month,DSL,No,Bank transfer,0
36,54.14,1828.38,Two year,DSL,No,Electronic check,0
50,114.81,6295.42,Month-to-month,Fiber optic,No,Credit card,0
43,116.16,5443.58,Month-to-month,No,No,Mailed check,1
23,81.33,1891.95,Month-to-month,No,No,Electronic check,1
58,112.72,6739.36,Month-to-month,Fiber optic,No,Credit card,1
31,95.61,3324.0,Month-to-month,DSL,Yes,Bank transfer,0
51,73.78,3661.33,One year,Fiber optic,Yes,Bank transfer,0
61,36.39,2365.58,One year,Fiber optic,No,Mailed check,0
57,64.78,3443.68,Month-to-month,DSL,Yes,Mailed check,0
51,75.21,3929.2,Month-to-month,DSL,Yes,Credit card,0
11,106.12,1371.23,Month-to-month,DSL,Yes,Credit card,0
38,67.1,2643.96,Two year,Fiber optic,Yes,Mailed check,0
1,109.56,224.21,Two year,Fiber optic,Yes,Credit card,0
2,86.78,281.56,Two year,No,Yes,Mailed check,0
55,31.97,1867.43,Two year,DSL,No,Bank transfer,0
58,119.49,7326.08,Month-to-month,DSL,No,Mailed check,0
1,71.78,146.04,Month-to-month,Fiber optic,No,Electronic check,1
1,57.97,119.02,One year,Fiber optic,Yes,Mailed check,1
53,85.23,4881.98,Two year,DSL,No,Mailed check,0
0,29.11,31.9,Month-to-month,DSL,No,Electronic check,1
18,82.93,1668.74,Month-to-month,DSL,No,Electronic check,1
1,68.82,143.35,Two year,DSL,Yes,Electronic check,0
52,59.48,2922.66,Month-to-month,DSL,No,Electronic check,1
43,115.21,5390.71,Month-to-month,No,No,Mailed check,0
31,71.3,2389.29,One year,Fiber optic,No,Credit card,0
69,40.35,2977.27,Month-to-month,Fiber optic,No,Electronic check,1
31,64.81,1962.38,Month-to-month,Fiber optic,No,Bank transfer,1
67,111.78,8214.36,One year,DSL,No,Mailed check,0
54,35.96,1818.5,One year,DSL,No,Credit card,0
55,39.82,2120.03,Two year,Fiber optic,Yes,Bank transfer,0
16,19.33,339.32,Month-to-month,Fiber optic,No,Mailed check,1
37,19.45,764.78,Month-to-month,DSL,No,Mailed check,1
23,102.6,2370.47,One year,Fiber optic,No,Bank transfer,0
68,92.68,6652.66,Month-to-month,Fiber optic,Yes,Electronic check,0
69,54.21,3709.65,Month-to-month,DSL,Yes,Electronic check,0
10,89.23,883.41,One year,DSL,No,Bank transfer,1
15,58.31,870.01,Month-to-month,Fiber optic,No,Credit card,1
58,115.2,7316.92,Month-to-month,Fiber optic,No,Electronic check,1
69,116.64,7711.97,Month-to-month,DSL,No,Mailed check,1
2,58.06,160.7,Month-to-month,DSL,Yes,Mailed check,0
19,105.13,2179.22,Month-to-month,Fiber optic,No,Credit card,1
58,96.86,5646.97,Month-to-month,DSL,No,Mailed check,0
35,49.62,1892.28,One year,Fiber optic,No,Electronic check,0
18,41.67,848.96,Two year,Fiber optic,Yes,Credit card,0
66,64.74,4637.73,Month-to-month,DSL,No,Electronic check,0
18,97.7,1786.88,Month-to-month,DSL,No,Credit card,0
19,115.94,2321.37,Month-to-month,Fiber optic,No,Bank transfer,1
70,95.89,7012.63,Month-to-month,DSL,No,Mailed check,0
51,105.23,5277.14,One year,DSL,Yes,Credit card,0
32,79.51,2383.01,One year,Fiber optic,Yes,Bank transfer,0
39,103.21,4124.82,One year,DSL,No,Electronic check,0
38,98.01,3449.95,Month-to-month,Fiber optic,No,Bank transfer,1
0,56.45,61.54,Month-to-month,DSL,Yes,Electronic check,1
10,74.3,865.8,Month-to-month,Fiber optic,No,Credit card,1
56,100.08,5353.17,Month-to-month,DSL,No,Credit card,0
49,22.7,1086.78,One year,No,No,Mailed check,0
22,100.42,2532.7,Two year,Fiber optic,Yes,Mailed check,0
30,36.14,1092.01,Month-to-month,DSL,No,Credit card,0
41,70.5,3129.02,One year,Fiber optic,Yes,Electronic check,0
6,100.44,695.6,Month-to-month,Fiber optic,Yes,Electronic check,1
15,43.89,753.38,Month-to-month,Fiber optic,Yes,Credit card,0
59,43.07,2689.51,One year,No,No,Electronic check,0
1,59.08,106.89,Month-to-month,Fiber optic,Yes,Credit card,1
0,109.25,104.76,Month-to-month,DSL,No,Mailed check,1
47,18.05,876.45,One year,Fiber optic,No,Electronic check,0
11,109.94,1431.73,Two year,DSL,No,Mailed check,0
68,33.69,2139.58,Month-to-month,Fiber optic,No,Bank transfer,1
36,118.99,4491.71,Month-to-month,Fiber optic,No,Mailed check,0
31,115.39,3546.39,Two year,DSL,No,Bank transfer,0
8,68.46,664.12,Two year,DSL,No,Mailed check,0
18,70.3,1406.54,One year,Fiber optic,No,Mailed check,0
47,67.12,3137.8,Month-to-month,Fiber optic,Yes,Electronic check,1
2,82.82,231.92,Two year,Fiber optic,Yes,Mailed check,0
19,27.25,491.75,Month-to-month,DSL,No,Credit card,1
23,21.33,524.32,One year,Fiber optic,No,Electronic check,0
53,23.89,1265.84,Month-to-month,DSL,No,Electronic check,1
32,63.33,2012.46,One year,DSL,No,Electronic check,0
23,46.11,1214.1,Month-to-month,DSL,Yes,Mailed check,0
71,81.45,5824.69,Month-to-month,DSL,No,Electronic check,1
35,119.23,4506.76,Month-to-month,Fiber optic,Yes,Bank transfer,0
37,57.4,2040.47,Month-to-month,No,No,Bank transfer,0
24,76.53,1727.07,One year,Fiber optic,No,Mailed check,0
17,60.39,1069.1,Two year,DSL,No,Electronic check,0
65,104.42,7120.06,Two year,Fiber optic,Yes,Credit card,0
53,110.03,5949.46,Month-to-month,Fiber optic,No,Credit card,0
34,107.49,4055.95,One year,DSL,No,Bank transfer,0
60,117.39,7066.24,One year,No,No,Mailed check,0
40,20.81,820.96,Month-to-month,Fiber optic,No,Mailed check,1
32,103.66,3705.42,Month-to-month,No,No,Mailed check,0
67,94.68,6318.23,One year,Fiber optic,No,Mailed check,0
32,41.33,1301.06,Two year,Fiber optic,No,Mailed check,0
13,115.54,1487.4,One year,DSL,Yes,Electronic check,0
20,33.11,736.1,Month-to-month,Fiber optic,No,Electronic check,1
47,87.31,4463.36,Month-to-month,DSL,No,Electronic check,1
19,40.94,742.37,Month-to-month,No,No,Credit card,0
7,62.0,481.98,One year,Fiber optic,No,Electronic check,1
6,91.35,671.41,One year,No,No,Mailed check,1
66,75.46,5507.19,Month-to-month,Fiber optic,No,Mailed check,0
16,61.61,1021.78,Two year,No,No,Credit card,0
32,51.29,1818.52,Month-to-month,DSL,No,Credit card,0
47,103.65,4869.45,Two year,Fiber optic,No,Bank transfer,0
58,32.67,1803.97,Month-to-month,Fiber optic,No,Credit card,1
21,61.87,1225.96,Month-to-month,Fiber optic,No,Bank transfer,1
29,110.18,3193.14,Month-to-month,Fiber optic,No,Electronic check,0
37,104.28,3866.33,Month-to-month,DSL,No,Mailed check,0
50,58.9,3271.32,Month-to-month,DSL,No,Bank transfer,0
53,95.84,4871.12,One year,No,Yes,Bank transfer,0
7,101.96,796.47,One year,Fiber optic,Yes,Bank transfer,1
26,108.67,2655.44,One year,DSL,Yes,Credit card,0
26,73.54,2090.24,Month-to-month,Fiber optic,No,Credit card,0
20,38.86,883.82,Month-to-month,No,Yes,Credit card,0
29,44.04,1251.92,Month-to-month,DSL,Yes,Bank transfer,0
27,48.16,1329.33,One year,No,Yes,Electronic check,0
63,78.57,4648.44,Month-to-month,No,No,Mailed check,0
68,21.35,1460.43,Two year,No,Yes,Credit card,0
60,82.88,4684.94,One year,No,No,Electronic check,0
47,55.16,2660.04,Month-to-month,Fiber optic,Yes,Credit card,1
18,48.11,956.98,Month-to-month,Fiber optic,No,Credit card,1
3,107.71,435.44,Month-to-month,DSL,No,Bank transfer,1
34,64.92,2156.42,Month-to-month,DSL,No,Bank transfer,0
63,27.7,1720.96,Two year,Fiber optic,No,Credit card,0
48,102.33,5153.14,Two year,Fiber optic,No,Mailed check,0
16,22.86,395.6,Month-to-month,DSL,No,Credit card,0
43,92.13,3759.24,One year,Fiber optic,Yes,Mailed check,0
29,96.94,3108.84,One year,DSL,No,Electronic check,0
45,53.97,2470.3,One year,No,Yes,Credit card,0
5,102.13,571.4,Month-to-month,DSL,No,Mailed check,1
36,70.6,2415.15,Month-to-month,Fiber optic,Yes,Electronic check,1
23,65.26,1712.07,Month-to-month,Fiber optic,No,Electronic check,1
45,22.63,995.5,Two year,DSL,No,Bank transfer,0
52,47.58,2727.81,Month-to-month,No,No,Electronic check,1
59,112.96,6656.4,Month-to-month,Fiber optic,No,Bank transfer,1
62,57.97,3568.78,Two year,DSL,No,Electronic check,0
31,73.76,2455.17,One year,DSL,No,Electronic check,0
32,72.27,2151.13,Two year,DSL,No,Mailed check,0
66,78.22,5071.03,Month-to-month,DSL,Yes,Mailed check,0
17,24.26,419.44,Month-to-month,Fiber optic,No,Bank transfer,1
24,54.94,1474.62,Two year,Fiber optic,No,Credit card,0
53,91.76,4983.9,Month-to-month,No,No,Mailed check,0
57,38.46,2170.26,Month-to-month,Fiber optic,No,Electronic check,1
66,38.76,2475.43,Month-to-month,DSL,Yes,Bank transfer,0
45,19.03,891.23,Month-to-month,DSL,Yes,Bank transfer,0
23,62.62,1398.18,Month-to-month,Fiber optic,No,Bank transfer,1
31,108.04,3281.79,Two year,DSL,No,Electronic check,0
46,23.29,1049.45,Two year,DSL,No,Mailed check,0
22,37.49,880.88,Two year,No,No,Credit card,0
65,49.63,3192.55,Month-to-month,DSL,No,Bank transfer,1
26,92.64,2504.17,Month-to-month,No,Yes,Electronic check,0
1,83.34,171.7,Month-to-month,DSL,Yes,Mailed check,1
16,60.43,1121.06,Two year,No,Yes,Mailed check,0
32,95.43,3315.99,Month-to-month,Fiber optic,No,Credit card,1
8,80.18,707.95,One year,Fiber optic,Yes,Bank transfer,0
42,109.4,4937.79,One year,DSL,No,Electronic check,0
47,101.44,5307.04,Month-to-month,No,No,Mailed check,0
38,43.79,1707.6,Month-to-month,No,Yes,Electronic check,0
41,45.69,1884.63,Two year,Fiber optic,Yes,Mailed check,0
25,30.79,732.98,Two year,Fiber optic,Yes,Bank transfer,0
49,52.37,2823.98,Month-to-month,Fiber optic,No,Bank transfer,0
24,119.95,2846.67,Month-to-month,DSL,No,Credit card,0
23,59.39,1301.06,Two year,Fiber optic,Yes,Mailed check,0
12,40.49,530.29,Month-to-month,No,No,Electronic check,1
59,95.77,6143.72,Month-to-month,Fiber optic,No,Mailed check,1
6,73.33,503.72,Month-to-month,DSL,No,Electronic check,1
56,33.26,2003.15,Month-to-month,Fiber optic,No,Credit card,1
35,56.83,2183.53,Month-to-month,Fiber optic,No,Mailed check,1
44,60.28,2687.86,Month-to-month,DSL,No,Bank transfer,0
19,94.89,1932.32,Month-to-month,DSL,No,Electronic check,1
64,20.11,1316.02,Month-to-month,DSL,Yes,Bank transfer,0
7,45.44,395.45,Two year,Fiber optic,No,Credit card,0
15,70.79,1183.72,Two year,DSL,No,Credit card,0
13,45.42,689.97,Two year,Fiber optic,No,Electronic check,0
14,82.1,1162.54,One year,Fiber optic,No,Mailed check,0
65,67.15,4263.7,Month-to-month,Fiber optic,No,Bank transfer,0
31,54.89,1605.74,Month-to-month,No,Yes,Bank transfer,0
62,114.82,7233.53,Two year,DSL,Yes,Electronic check,0
50,82.48,4521.06,Month-to-month,DSL,Yes,Electronic check,0
24,31.25,754.19,Month-to-month,No,No,Electronic check,0
57,75.13,4033.58,One year,DSL,Yes,Credit card,0
62,97.63,5619.82,Month-to-month,DSL,Yes,Credit card,0
61,90.27,5537.97,Month-to-month,No,Yes,Bank transfer,0
21,35.55,729.55,Two year,No,Yes,Mailed check,0
57,117.19,6587.81,Two year,Fiber optic,Yes,Electronic check,0
57,63.78,3935.98,Month-to-month,DSL,Yes,Credit card,0
48,34.22,1637.89,Two year,Fiber optic,No,Mailed check,0
51,36.38,1933.33,One year,DSL,Yes,Electronic check,0
41,28.02,1177.35,One year,Fiber optic,Yes,Mailed check,0
69,99.96,7303.02,Month-to-month,Fiber optic,No,Electronic check,1
14,30.45,425.34,Month-to-month,No,No,Mailed check,1
53,30.76,1800.71,One year,DSL,Yes,Bank transfer,0
59,104.75,6465.55,Two year,Fiber optic,Yes,Electronic check,0
7,53.15,405.72,One year,DSL,No,Electronic check,1
52,21.15,1036.49,Month-to-month,DSL,Yes,Bank transfer,0
59,23.29,1299.51,Month-to-month,Fiber optic,Yes,Electronic check,1
4,32.5,171.69,Two year,DSL,Yes,Electronic check,0
67,39.77,2752.02,Month-to-month,Fiber optic,Yes,Credit card,0
5,85.84,502.76,Month-to-month,Fiber optic,No,Bank transfer,1
46,34.05,1546.87,Month-to-month,No,No,Credit card,0
54,30.13,1775.06,Month-to-month,Fiber optic,No,Bank transfer,0
39,96.0,4127.82,One year,No,No,Mailed check,0
51,86.45,4568.46,One year,Fiber optic,No,Bank transfer,0
15,62.4,1003.3,Month-to-month,DSL,No,Bank transfer,0
12,74.03,1023.3,Month-to-month,Fiber optic,No,Credit card,1
29,49.82,1569.13,Two year,Fiber optic,Yes,Electronic check,0
18,67.22,1251.72,Month-to-month,Fiber optic,No,Bank transfer,1
16,69.68,1085.71,Month-to-month,Fiber optic,No,Electronic check,1
62,57.5,3817.03,Two year,Fiber optic,Yes,Bank transfer,0
18,110.47,1959.86,Month-to-month,DSL,No,Credit card,1
57,19.64,1028.94,Two year,DSL,No,Bank transfer,0
54,97.78,5747.15,Month-to-month,Fiber optic,No,Mailed check,0
61,30.69,1932.56,One year,Fiber optic,Yes,Bank transfer,0
22,99.35,2464.05,Month-to-month,Fiber optic,No,Bank transfer,1
8,80.82,725.14,Two year,Fiber optic,No,Electronic check,1
11,104.01,1354.58,Month-to-month,DSL,No,Electronic check,1
0,27.95,27.13,Month-to-month,Fiber optic,Yes,Mailed check,1
57,75.02,4546.55,Two year,Fiber optic,Yes,Bank transfer,0
0,69.11,66.36,Month-to-month,Fiber optic,No,Electronic check,1
33,90.03,2755.63,Month-to-month,Fiber optic,No,Bank transfer,1
47,72.5,3396.3,Month-to-month,Fiber optic,No,Credit card,1
0,73.15,76.63,One year,Fiber optic,No,Credit card,0
15,61.82,919.89,Month-to-month,No,No,Mailed check,0
60,49.5,3022.4,Month-to-month,Fiber optic,No,Credit card,1
63,67.19,4052.75,One year,Fiber optic,Yes,Electronic check,0
62,30.09,1734.4,Month-to-month,Fiber optic,Yes,Electronic check,1
68,116.07,8196.96,Two year,Fiber optic,No,Mailed check,0
21,90.87,2179.85,Two year,Fiber optic,No,Bank transfer,0
66,115.15,7422.96,One year,Fiber optic,No,Electronic check,0
25,41.13,1086.63,Two year,Fiber optic,No,Credit card,0
15,107.69,1879.36,One year,DSL,Yes,Electronic check,0
50,100.5,5279.76,Month-to-month,No,No,Mailed check,0
56,87.07,5134.82,One year,Fiber optic,No,Credit card,0
28,81.75,2218.51,Month-to-month,Fiber optic,No,Credit card,1
68,50.29,3464.88,Month-to-month,Fiber optic,Yes,Credit card,1
46,101.27,4633.16,Two year,DSL,No,Mailed check,0
61,69.15,4262.4,Month-to-month,DSL,No,Mailed check,0
68,25.23,1845.61,Two year,DSL,No,Bank transfer,0
15,49.91,792.28,Month-to-month,Fiber optic,No,Bank transfer,1
47,113.4,4967.3,One year,No,Yes,Bank transfer,0
38,104.77,4417.44,Month-to-month,Fiber optic,Yes,Mailed check,0
32,118.15,3933.9,One year,Fiber optic,Yes,Credit card,0
22,82.06,2047.62,One year,Fiber optic,No,Credit card,0
9,43.25,438.76,One year,DSL,No,Electronic check,1
68,34.61,2182.54,Month-to-month,DSL,No,Bank transfer,0
33,37.07,1273.71,Month-to-month,Fiber optic,Yes,Credit card,0
51,20.02,1056.81,Month-to-month,No,No,Credit card,0
9,57.85,545.45,One year,Fiber optic,No,Credit card,0
18,37.53,708.94,Two year,Fiber optic,Yes,Credit card,0
57,59.99,3451.2,Month-to-month,No,No,Mailed check,0
0,113.37,116.16,One year,DSL,Yes,Bank transfer,0
68,61.92,4067.07,Two year,Fiber optic,Yes,Credit card,0
3,107.55,437.23,Month-to-month,Fiber optic,Yes,Credit card,1
15,79.76,1210.04,One year,Fiber optic,No,Credit card,0
23,43.21,1025.93,Two year,DSL,No,Credit card,0
1,54.3,100.41,Month-to-month,Fiber optic,Yes,Electronic check,1
31,26.56,771.27,Month-to-month,Fiber optic,No,Credit card,1
23,52.01,1203.45,Month-to-month,DSL,No,Credit card,0
11,87.11,998.19,Two year,Fiber optic,No,Credit card,1
49,25.36,1244.4,Two year,DSL,Yes,Electronic check,0
34,38.95,1489.21,One year,No,No,Mailed check,0
32,56.91,1886.38,Month-to-month,Fiber optic,No,Electronic check,1
32,118.17,3941.08,Month-to-month,No,Yes,Credit card,0
60,98.06,6509.96,Month-to-month,Fiber optic,Yes,Mailed check,1
50,92.82,5132.55,Month-to-month,DSL,No,Credit card,0
42,29.85,1382.16,One year,DSL,Yes,Mailed check,0
11,97.66,1077.7,Two year,DSL,No,Credit card,0
66,98.1,6749.24,Two year,DSL,Yes,Credit card,0
64,79.31,5472.81,One year,Fiber optic,No,Mailed check,0
32,119.02,4191.26,Month-to-month,DSL,Yes,Mailed check,0
39,51.18,2079.1,Month-to-month,Fiber optic,Yes,Credit card,1
42,114.01,4429.34,Month-to-month,Fiber optic,Yes,Electronic check,1
43,111.3,5361.17,One year,Fiber optic,No,Electronic check,0
28,19.17,552.84,Two year,Fiber optic,No,Electronic check,0
12,63.91,813.15,Month-to-month,Fiber optic,Yes,Electronic check,0
11,117.66,1382.26,Month-to-month,No,Yes,Mailed check,0
45,28.52,1292.02,Month-to-month,DSL,No,Mailed check,0
1,73.87,140.12,Month-to-month,Fiber optic,No,Electronic check,1
34,117.85,3982.31,Month-to-month,Fiber optic,No,Bank transfer,0
7,74.66,655.26,Month-to-month,Fiber optic,Yes,Bank transfer,1
25,37.36,945.75,Month-to-month,Fiber optic,No,Bank transfer,0
33,77.38,2644.98,Two year,Fiber optic,No,Credit card,0
6,38.85,290.89,One year,Fiber optic,No,Electronic check,1
67,71.01,4855.17,Month-to-month,Fiber optic,No,Credit card,1
57,25.55,1429.87,Month-to-month,No,Yes,Mailed check,0
28,79.76,2324.03,Month-to-month,No,Yes,Mailed check,0
35,70.71,2349.09,Month-to-month,DSL,No,Bank transfer,1
20,93.5,1818.2,Month-to-month,DSL,No,Bank transfer,0
35,82.33,3078.94,Month-to-month,No,No,Mailed check,1
9,74.06,802.43,One year,No,No,Bank transfer,0
23,88.36,2216.36,One year,DSL,No,Bank transfer,0
